"한국어성분명","영문표준명"
"1,2-헥산다이올","1,2-Hexanediol"
"C12-20알킬글루코사이드","C12-20 Alkyl Glucoside"
"C14-22알코올","C14-22 Alcohols"
"t-부틸알코올","t-Butyl Alcohol"
"가지열매추출물","Solanum Melongena (Eggplant) Fruit Extract"
"광곽향오일","Pogostemon Cablin Oil"
"글라이신","Glycine"
"글루코오스","Glucose"
"글루타티온","Glutathione"
"글리세레스-26","Glycereth-26"
"글리세린","Glycerin"
"글리세릴글루코사이드","Glyceryl Glucoside"
"글리세릴스테아레이트","Glyceryl Stearate"
"글리세릴스테아레이트시트레이트","Glyceryl Stearate Citrate"
"글리세릴스테아레이트에스이","Glyceryl Stearate SE"
"글리세릴아크릴레이트/아크릴릭애씨드코폴리머","Glyceryl Acrylate/Acrylic Acid Copolymer"
"글리세릴카프릴레이트","Glyceryl Caprylate"
"나이아신아마이드","Niacinamide"
"녹차추출물","Camellia Sinensis Leaf Extract"
"다마스크장미꽃수","Rosa Damascena Flower Water"
"다시마추출물","Laminaria Japonica Extract"
"다이메티콘","Dimethicone"
"다이메티콘올","Dimethiconol"
"다이메틸실란올하이알루로네이트","Dimethylsilanol Hyaluronate"
"다이부틸아디페이트","Dibutyl Adipate"
"다이소듐이디티에이","Disodium EDTA"
"다이스테아다이모늄헥토라이트","Disteardimonium Hectorite"
"다이아이소스테아릴말레이트","Diisostearyl Malate"
"다이펩타이드-2","Dipeptide-2"
"다이포타슘글리시리제이트","Dipotassium Glycyrrhizate"
"다이프로필렌글라이콜","Dipropylene Glycol"
"당느릅나무뿌리추출물","Ulmus Davidiana Root Extract"
"데실글루코사이드","Decyl Glucoside"
"덱스트린","Dextrin"
"디에칠아미노하이드록시벤조일헥실벤조에이트","Diethylamino Hydroxybenzoyl Hexyl Benzoate"
"디에칠헥실부타미도트리아존","Diethylhexyl Butamido Triazone"
"라우릭애씨드","Lauric Acid"
"라이신","Lysine"
"락토바실러스/콩발효추출물","Lactobacillus/Soybean Ferment Extract"
"락토바실러스발효물","Lactobacillus Ferment"
"로즈마리잎오일","Rosmarinus Officinalis (Rosemary) Leaf Oil"
"로즈마리잎추출물","Rosmarinus Officinalis (Rosemary) Leaf Extract"
"류신","Leucine"
"리날룰","Linalool"
"리모넨","Limonene"
"마그네슘설페이트","Magnesium Sulfate"
"마데카소사이드","Madecassoside"
"마데카식애씨드","Madecassic Acid"
"마카다미아씨오일","Macadamia Ternifolia Seed Oil"
"마트리카리아꽃추출물","Chamomilla Recutita (Matricaria) Flower Extract"
"말라카이트추출물","Malachite Extract"
"메칠렌비스-벤조트리아졸릴테트라메칠부틸페놀","Methylene Bis-Benzotriazolyl Tetramethylbutylphenol"
"메틸메타크릴레이트크로스폴리머","Methyl Methacrylate Crosspolymer"
"메틸프로판다이올","Methylpropanediol"
"멜론추출물","Cucumis Melo (Melon) Fruit Extract"
"모란뿌리추출물","Paeonia Suffruticosa Root Extract"
"무화과추출물","Ficus Carica (Fig) Fruit Extract"
"미리스틱애씨드","Myristic Acid"
"발린","Valine"
"버지니아풍년화추출물","Hamamelis Virginiana (Witch Hazel) Extract"
"베타-글루칸","Beta-Glucan"
"베타인","Betaine"
"베헤닐알코올","Behenyl Alcohol"
"벤질글라이콜","Benzyl Glycol"
"병풀잎추출물","Centella Asiatica Leaf Extract"
"병풀추출물","Centella Asiatica Extract"
"부틸렌글라이콜","Butylene Glycol"
"부틸옥틸살리실레이트","Butyloctyl Salicylate"
"비닐다이메티콘","Vinyl Dimethicone"
"비스-에칠헥실옥시페놀메톡시페닐트리아진","Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine"
"사이아노코발아민","Cyanocobalamin"
"사이클로펜타실록세인","Cyclopentasiloxane"
"사이클로헥사실록세인","Cyclohexasiloxane"
"살비아오일","Salvia Officinalis (Sage) Oil"
"서양배추출물","Pyrus Communis (Pear) Fruit Extract"
"서양송악잎/줄기추출물","Hedera Helix (Ivy) Leaf/Stem Extract"
"세라마이드에이에스","Ceramide AS"
"세라마이드에이피","Ceramide AP"
"세라마이드엔에스","Ceramide NS"
"세라마이드엔피","Ceramide NP"
"세라마이드이오피","Ceramide EOP"
"세린","Serine"
"세테아릴글루코사이드","Cetearyl Glucoside"
"세테아릴알코올","Cetearyl Alcohol"
"세테아릴올리베이트","Cetearyl Olivate"
"세틸에틸헥사노에이트","Cetyl Ethylhexanoate"
"셀룰로오스검","Cellulose Gum"
"소듐라우로일글루타메이트","Sodium Lauroyl Glutamate"
"소듐벤조에이트","Sodium Benzoate"
"소듐스테아로일글루타메이트","Sodium Stearoyl Glutamate"
"소듐시트레이트","Sodium Citrate"
"소듐아세테이트","Sodium Acetate"
"소듐아세틸레이티드하이알루로네이트","Sodium Acetylated Hyaluronate"
"소듐코코일글라이시네이트","Sodium Cocoyl Glycinate"
"소듐코코일이세티오네이트","Sodium Cocoyl Isethionate"
"소듐클로라이드","Sodium Chloride"
"소듐파이테이트","Sodium Phytate"
"소듐폴리아크릴레이트","Sodium Polyacrylate"
"소듐피씨에이","Sodium PCA"
"소듐하이알루로네이트","Sodium Hyaluronate"
"소듐하이알루로네이트다이메틸실란올","Sodium Hyaluronate Dimethylsilanol"
"소듐하이알루로네이트크로스폴리머","Sodium Hyaluronate Crosspolymer"
"솔비탄아이소스테아레이트","Sorbitan Isostearate"
"솔비탄올리베이트","Sorbitan Olivate"
"솔비톨","Sorbitol"
"쇠비름추출물","Portulaca Oleracea Extract"
"수크로오스","Sucrose"
"스쿠알란","Squalane"
"스테아릭애씨드","Stearic Acid"
"시어버터","Butyrospermum Parkii (Shea) Butter"
"시트릭애씨드","Citric Acid"
"실리카","Silica"
"아데노신","Adenosine"
"아라키딕애씨드","Arachidic Acid"
"아미노부티릭애씨드","Aminobutyric Acid"
"아세틸헥사펩타이드-8","Acetyl Hexapeptide-8"
"아스코빅애씨드","Ascorbic Acid"
"아시아티코사이드","Asiaticoside"
"아시아틱애씨드","Asiatic Acid"
"아이리쉬모스추출물","Chondrus Crispus Extract"
"아이비고드열매추출물","Coccinia Indica Fruit Extract"
"아이소도데케인","Isododecane"
"아이소펜틸다이올","Isopentyldiol"
"아크릴레이트/C10-30알킬아크릴레이트크로스폴리머","Acrylates/C10-30 Alkyl Acrylate Crosspolymer"
"안하이드로자일리톨","Anhydroxylitol"
"알란토인","Allantoin"
"알로에베라꽃추출물","Aloe Barbadensis Flower Extract"
"알지닌","Arginine"
"암모늄아크릴로일다이메틸타우레이트/브이피코폴리머","Ammonium Acryloyldimethyltaurate/VP Copolymer"
"약모밀추출물","Houttuynia Cordata Extract"
"에리스리톨","Erythritol"
"에칠헥실트리아존","Ethylhexyl Triazone"
"에틸헥실글리세린","Ethylhexylglycerin"
"오리스뿌리추출물","Iris Florentina Root Extract"
"옥틸도데칸올","Octyldodecanol"
"올리브오일","Olea Europaea (Olive) Fruit Oil"
"울금뿌리추출물","Curcuma Longa (Turmeric) Root Extract"
"인도멀구슬나무꽃추출물","Melia Azadirachta Flower Extract"
"인도멀구슬나무잎추출물","Melia Azadirachta Leaf Extract"
"자일리톨","Xylitol"
"자일리틸글루코사이드","Xylitylglucoside"
"잔탄검","Xanthan Gum"
"접시꽃추출물","Althaea Rosea Flower Extract"
"정제수","Water"
"참산호말추출물","Corallina Officinalis Extract"
"치자추출물","Gardenia Florida Fruit Extract"
"카보머","Carbomer"
"카퍼트라이펩타이드-1","Copper Tripeptide-1"
"카프릴릭/카프릭트라이글리세라이드","Caprylic/Capric Triglyceride"
"카프릴릴글라이콜","Caprylyl Glycol"
"카프릴릴메티콘","Caprylyl Methicone"
"캐롭검","Ceratonia Siliqua (Carob) Gum"
"캐모마일꽃오일","Anthemis Nobilis Flower Oil"
"캐모마일꽃추출물","Anthemis Nobilis Flower Extract"
"코코-카프릴레이트/카프레이트","Coco-Caprylate/Caprate"
"콜레스테롤","Cholesterol"
"퀸즈랜드넛오일","Macadamia Integrifolia Seed Oil"
"토코페롤","Tocopherol"
"토코페릴아세테이트","Tocopheryl Acetate"
"트라이에톡시카프릴릴실레인","Triethoxycaprylylsilane"
"트라이펩타이드-1","Tripeptide-1"
"트레오닌","Threonine"
"트레할로오스","Trehalose"
"트로메타민","Tromethamine"
"판테놀","Panthenol"
"팔미토일펜타펩타이드-4","Palmitoyl Pentapeptide-4"
"팔미틱애씨드","Palmitic Acid"
"페닐알라닌","Phenylalanine"
"페닐트라이메티콘","Phenyl Trimethicone"
"펜틸렌글라이콜","Pentylene Glycol"
"포타슘코코에이트","Potassium Cocoate"
"포타슘코코일글리시네이트","Potassium Cocoyl Glycinate"
"포타슘클로라이드","Potassium Chloride"
"포타슘하이드록사이드","Potassium Hydroxide"
"포타슘하이알루로네이트","Potassium Hyaluronate"
"폴리C10-30알킬아크릴레이트","Poly C10-30 Alkyl Acrylate"
"폴리글리세릴-10라우레이트","Polyglyceryl-10 Laurate"
"폴리글리세릴-3메틸글루코오스다이스테아레이트","Polyglyceryl-3 Methylglucose Distearate"
"폴리글리세릴-4라우레이트","Polyglyceryl-4 Laurate"
"폴리메틸실세스퀴옥세인","Polymethylsilsesquioxane"
"폴리솔베이트60","Polysorbate 60"
"폴리아크릴레이트크로스폴리머-6","Polyacrylate Crosspolymer-6"
"폴리쿼터늄-51","Polyquaternium-51"
"프로판다이올","Propanediol"
"프로필헵틸카프릴레이트","Propylheptyl Caprylate"
"프룩토올리고사카라이드","Fructooligosaccharides"
"피브이엠/엠에이코폴리머","PVM/MA Copolymer"
"피토스테롤","Phytosterols"
"피토스핑고신","Phytosphingosine"
"하이드로제네이티드레시틴","Hydrogenated Lecithin"
"하이드로제네이티드폴리데센","Hydrogenated Polydecene"
"하이드로제네이티드폴리아이소부텐","Hydrogenated Polyisobutene"
"하이드록시아세토페논","Hydroxyacetophenone"
"하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머","Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer"
"하이드록시프로필스타치포스페이트","Hydroxypropyl Starch Phosphate"
"하이드록시프로필트라이모늄하이알루로네이트","Hydroxypropyltrimonium Hyaluronate"
"하이드롤라이즈드글라이코사미노글리칸","Hydrolyzed Glycosaminoglycans"
"하이드롤라이즈드소듐하이알루로네이트","Hydrolyzed Sodium Hyaluronate"
"하이드롤라이즈드콜라겐","Hydrolyzed Collagen"
"하이드롤라이즈드하이알루로닉애씨드","Hydrolyzed Hyaluronic Acid"
"하이알루로닉애씨드","Hyaluronic Acid"
"한련초잎추출물","Eclipta Prostrata Leaf Extract"
"해바라기씨오일","Helianthus Annuus (Sunflower) Seed Oil"
"해수","Sea Water"
"향료","Fragrance"
"호호바씨오일","Simmondsia Chinensis (Jojoba) Seed Oil"
"홀리바질잎추출물","Ocimum Sanctum Leaf Extract"
"황금추출물","Scutellaria Baicalensis Root Extract"
"효모발효여과물","Saccharomyces Ferment Filtrate"
"히스티딘","Histidine"
