"영문표준명","EWG등급"
"1,2-Hexanediol","1"
"C12-20 Alkyl Glucoside","1"
"C14-22 Alcohols","1"
"t-Butyl Alcohol","3"
"Solanum Melongena (Eggplant) Fruit Extract","1"
"Pogostemon Cablin Oil","3"
"Glycine","1"
"Glucose","1"
"Glutathione","1"
"Glycereth-26","1"
"Glycerin","1"
"Glyceryl Glucoside","1"
"Glyceryl Stearate","1"
"Glyceryl Stearate Citrate","1"
"Glyceryl Stearate SE","1"
"Glyceryl Acrylate/Acrylic Acid Copolymer","1"
"Glyceryl Caprylate","1"
"Niacinamide","1"
"Camellia Sinensis Leaf Extract","2"
"Rosa Damascena Flower Water","1"
"Laminaria Japonica Extract",""
"Dimethicone","4"
"Dimethiconol","1"
"Dimethylsilanol Hyaluronate","1"
"Dibutyl Adipate","1"
"Disodium EDTA","2"
"Disteardimonium Hectorite","1"
"Diisostearyl Malate","1"
"Dipeptide-2","1"
"Dipotassium Glycyrrhizate","1"
"Dipropylene Glycol","2"
"Ulmus Davidiana Root Extract","1"
"Decyl Glucoside","2"
"Dextrin","1"
"Diethylamino Hydroxybenzoyl Hexyl Benzoate","3"
"Diethylhexyl Butamido Triazone","1"
"Lauric Acid","1"
"Lysine","1"
"Lactobacillus/Soybean Ferment Extract","1"
"Lactobacillus Ferment","1"
"Rosmarinus Officinalis (Rosemary) Leaf Oil","4"
"Leucine","1"
"Linalool","3"
"Limonene","4"
"Magnesium Sulfate","1"
"Madecassoside","1"
"Madecassic Acid","1"
"Macadamia Ternifolia Seed Oil","1"
"Chamomilla Recutita (Matricaria) Flower Extract","2"
"Malachite Extract","1"
"Methylene Bis-Benzotriazolyl Tetramethylbutylphenol",""
"Methyl Methacrylate Crosspolymer","1"
"Methylpropanediol","1"
"Cucumis Melo (Melon) Fruit Extract","1"
"Paeonia Suffruticosa Root Extract","1"
"Ficus Carica (Fig) Fruit Extract","1"
"Myristic Acid","1"
"Valine","1"
"Hamamelis Virginiana (Witch Hazel) Extract","1"
"Beta-Glucan","1"
"Betaine","2"
"Behenyl Alcohol","1"
"Benzyl Glycol","1"
"Centella Asiatica Leaf Extract","1"
"Centella Asiatica Extract","1"
"Butylene Glycol","1"
"Butyloctyl Salicylate","2"
"Vinyl Dimethicone","1"
"Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine","1"
"Cyclohexasiloxane","3"
"Salvia Officinalis (Sage) Oil","2"
"Pyrus Communis (Pear) Fruit Extract","1"
"Hedera Helix (Ivy) Leaf/Stem Extract","1"
"Ceramide AS","1"
"Ceramide AP","1"
"Ceramide NS","1"
"Ceramide NP","1"
"Ceramide EOP","1"
"Serine","1"
"Cetearyl Glucoside","1"
"Cetearyl Alcohol","1"
"Cetearyl Olivate","1"
"Cetyl Ethylhexanoate","1"
"Cellulose Gum","1"
"Sodium Lauroyl Glutamate","1"
"Sodium Benzoate","1"
"Sodium Stearoyl Glutamate","1"
"Sodium Citrate","1"
"Sodium Acetate","1"
"Sodium Acetylated Hyaluronate","1"
"Sodium Cocoyl Glycinate","1"
"Sodium Cocoyl Isethionate","1"
"Sodium Chloride","1"
"Sodium Phytate","1"
"Sodium Polyacrylate","1"
"Sodium PCA","1"
